ID,Delay,Running_time
1,3.3642339433911843,4.134474992752075
2,3.315894240866757,3.4471211433410645
3,3.322281548839986,3.775195360183716
4,3.375319611760352,3.655792236328125
5,3.351115130803464,3.734015464782715
6,3.3819668882145097,4.08277702331543
7,3.479201894455577,4.21565842628479
8,3.667165397295263,4.841455698013306
9,3.410150954245416,4.4696204662323
10,3.7755930087391283,4.293518781661987
11,3.284389060359367,3.987622022628784
12,3.364908932896822,3.843754768371582
13,3.395301328911252,4.0748512744903564
14,3.4316239693725317,3.7843706607818604
15,3.325788591235808,3.7234411239624023
16,3.4853167678036314,3.892077684402466
17,3.416423131392883,4.05071234703064
18,3.3672031795330457,4.199197292327881
19,3.3605934707642104,4.019120454788208
20,3.3001201463039447,3.9205498695373535
21,3.3586869726976882,3.9354236125946045
22,3.360503009591044,4.048910856246948
23,3.4006308998266754,3.9098832607269287
24,3.4291375503591475,4.07023549079895
25,3.8752738961543685,4.486705541610718
26,3.433720412181938,4.0830254554748535
27,3.3053040395150357,3.504680871963501
28,3.330348872005222,3.8748490810394287
29,3.4216069604694175,3.5414950847625732
30,3.3231532370773125,4.073951959609985
